PACKTEXT,PPTEXT,CUST,CASENO,ACC,ITEM,SUBITEM,OTYPE,DEST,MOT,CT,SKU,DESCR,QTY,PITEXT,DROPID,CASEID,USR,PTYPE,SOTEXT,SI,SHIPPINGTEXT,STDNETWGT,PACKINGUNIT,LENGTH,WIDTH,HEIGHT,SHIPMENTORDER,SHIPMENTORDERLINE,PACKAGESPECIFICATIONCODE,SINGLEPACKING,SHIPPINGMARKCODE,LOCATION,FMVSS,LABEL,GMGRNO,ASBESTOS,PROPERTYLOSS,GMLOGO,EGYPT,INSPECTION,COLUMBIA,DANGEROUSGOODS,FORWARDER,PACKDATE_T,PACKDATE,PPDATE_T,PPDATE,PIDATE_T,PIDATE,SODATE_T,SODATE,SHIPPINGDATE_T,SHIPPINGDATE
,22 Apr 2015,K112RTAA,,00010,0054," ",Stock_Sea,,,,8973613210,INSULATION; ENG HOOD,9,17 Apr 2015,,0000563823,,Released,17 Apr 2015,,,2.102,1.000,1300.000,70.000,750.000,0000019287,00050,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,,,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
,22 Apr 2015,K112RTAA,,00010,0085," ",Stock_Sea,,,,8974166427,AIR BAG UNIT,1,17 Apr 2015,,0000563799,,Released,17 Apr 2015,,,2.864,1.000,400.000,280.000,220.000,0000019287,00081,C,null,112A,null," "," "," "," "," ",N," ",N," ",X,ZZZ,,,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
,22 Apr 2015,K112RTAA,,00010,0183," ",Stock_Sea,,,,8980799930,LAMP ASM; HEAD,2,17 Apr 2015,,0000563829,,Released,17 Apr 2015,,,3.633,1.000,510.000,420.000,320.000,0000019287,00174,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,,,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
,22 Apr 2015,K112RTAA,,00010,0184," ",Stock_Sea,,,,8980799950,LAMP ASM; HEAD,5,17 Apr 2015,,0000563830,,Released,17 Apr 2015,,,3.62,1.000,510.000,420.000,320.000,0000019287,00175,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,,,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
,22 Apr 2015,K112RTAA,,00010,0195," ",Stock_Sea,,,,8981042966,"PANEL; SIDE INNER,RR BODY",1,17 Apr 2015,,0000563828,,Released,17 Apr 2015,,,10.9,1.000,1480.000,400.000,500.000,0000019287,00185,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,,,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
,22 Apr 2015,K112RTAA,,00010,0208," ",Stock_Sea,,,,8981372774,RADIATOR ASM,5,17 Apr 2015,,0000563820,,Released,17 Apr 2015,,,7.592,1.000,820.000,250.000,770.000,0000019287,00198,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,,,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
,22 Apr 2015,K112RTAA,,00010,0221," ",Stock_Sea,,,,8981934462,BUMPER ASM; FRT,1,17 Apr 2015,,0000563837,,Released,17 Apr 2015,,,10.31,1.000,1820.000,615.000,765.000,0000019287,00211,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,,,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E001,00010,0061," ",Stock_Sea,SGP,S,2999,8973697271,"PANEL; FRT,RR BODY",1,17 Apr 2015,Q68821,0000563843,0035,Packed Complete,17 Apr 2015,,,10.094,1.000,1610.000,570.000,150.000,0000019287,00057,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E002,00010,0236," ",Stock_Sea,SGP,S,2999,8982315111,DOOR ASM; REAR,1,17 Apr 2015,Q68822,0000563842,0035,Packed Complete,17 Apr 2015,,,22.7,1.000,1240.000,220.000,1300.000,0000019287,00226,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E003,00010,0136," ",Stock_Sea,SGP,S,2999,8980071323,PANEL; WHEEL HOUSE,5,17 Apr 2015,Q68823,0000565001,0035,Packed Complete,17 Apr 2015,,,0.81,1.000,1000.000,520.000,460.000,0000019287,00130,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E004,00010,0136," ",Stock_Sea,SGP,S,2999,8980071323,PANEL; WHEEL HOUSE,5,17 Apr 2015,Q68824,0000563840,0035,Packed Complete,17 Apr 2015,,,0.81,1.000,1000.000,520.000,460.000,0000019287,00130,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E005,00010,0127," ",Stock_Sea,SGP,S,100039,8980058350,ARM; LWR CONT,3,17 Apr 2015,Q68645,0000563811,0004,Packed Complete,17 Apr 2015,,,12.008,1.000,535.000,520.000,185.000,0000019287,00122,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E005,00010,0127," ",Stock_Sea,SGP,S,100039,8980058350,ARM; LWR CONT,3,17 Apr 2015,Q68645,0000563812,0004,Packed Complete,17 Apr 2015,,,12.008,1.000,535.000,520.000,185.000,0000019287,00122,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E006,00010,0235," ",Stock_Sea,SGP,S,100051,8982185560,"SPRING ASM; LEAF,RR",2,17 Apr 2015,Q68828,0000563787,0035,Packed Complete,17 Apr 2015,,,20.16,1.000,1375.000,230.000,90.000,0000019287,00225,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E007,00010,0116," ",Stock_Sea,SGP,S,100051,8979468270,"SPRING ASM; LEAF,RR",1,17 Apr 2015,Q68829,0000563789,0035,Packed Complete,17 Apr 2015,,,13.102,1.000,1190.000,270.000,80.000,0000019287,00112,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E008,00010,0027," ",Stock_Sea,SGP,S,100043,8973020011,CAP; WHEEL,6,17 Apr 2015,Q68649,0000563718,0006,Packed Complete,17 Apr 2015,,,0.21,1.000,190.000,190.000,60.000,0000019287,00025,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
20 Apr 2015,22 Apr 2015,K112RTAA,00010E008,00010,0027," ",Stock_Sea,SGP,S,100043,8973020011,CAP; WHEEL,5,17 Apr 2015,Q68649,0000563721,0006,Packed Complete,17 Apr 2015,,,0.21,1.000,190.000,190.000,60.000,0000019287,00025,C,null,112A,null," "," "," "," "," ",N," ",N," "," ",ZZZ,"Apr 20, 2015 12:00 AM",2015.04.20,"Apr 22, 2015 12:00 AM",2015.04.22,"Apr 17, 2015 12:00 AM",2015.04.17,"Apr 17, 2015 12:00 AM",2015.04.17,,
